outlet_title,average_rating,total_reviews,street_address,city,state,country_code,pincode,phone,category_name,website,google_maps_url,latitude,longitude,placeId,cid,is_active,extracted_at
Barbeque Nation,4.2,17825.0,"1st Floor, ANR सेंटर, Plot No.6-3 5, Road No. 1",Hyderabad,Telangana,IN,500034,+91 80 6405 8003,Barbecue restaurant,https://www.barbequenation.com/restaurants/hyderabad/banjara-hills?utm_source=GMB&utm_medium=hyderabad_banjara-hills&utm_campaign=GMB_hyderabad_banjara-hills,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJt3TsmjeXyzsRW78eukz3few,17.4151089,78.4500669,ChIJt3TsmjeXyzsRW78eukz3few,17041048473951977307,True,2026-07-26 14:26:06
Barbeque Nation - Visakhapatnam - Waltair Road,4.4,10163.0,"4rd Floor, D. no 10-50-12, Sripuram, 9-Block, Waltair Main Rd, opposite Governor Bungalow, beside Reliance Trends",Visakhapatnam,Andhra Pradesh,IN,530003,+91 80 6902 8744,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Visakhapatnam%20-%20Waltair%20Road&query_place_id=ChIJk45YuGtDOToRVbSgKYBj2nU,17.7210003,83.3146091,ChIJk45YuGtDOToRVbSgKYBj2nU,8492209449465853013,True,2026-07-26 14:26:06
Barbeque Nation,4.4,9805.0,"8th Floor, Patna One Mall, New Dak Bunglow Rd",Patna,Bihar,IN,800001,+91 80 6902 8730,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJlXOFO0NY7TkRheDLAr2Chz8,25.609878,85.1366535,ChIJlXOFO0NY7TkRheDLAr2Chz8,4577771294552744069,True,2026-07-26 14:26:06
Barbeque Nation,4.0,6763.0,1st Cross St,"Chennai, Greater Chennai",Tamil Nadu,IN,600042,+91 80 6902 8724,Barbecue restaurant,https://www.barbequenation.com/restaurants/chennai/grand-mall?utm_source=GMB&utm_medium=chennai%2Fgrand-mall&utm_campaign=GMB_chennai%2Fgrand-mall,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJD0bLspBdUjoRQRyqApSAeh4,12.9720141,80.2203525,ChIJD0bLspBdUjoRQRyqApSAeh4,2196209141484756033,True,2026-07-26 14:26:06
Barbeque Nation,4.1,5021.0,"Building, 3rd floor, Appanam, Lakshmipuram Main Rd, above Westside - Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,IN,522007,+91 80 6902 8743,Barbecue restaurant,https://www.barbequenation.com/restaurants/guntur/guntur?utm_source=GMB&utm_medium=guntur&utm_campaign=GMB_guntur,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ_VgAs2Z1SjoRLejSriWWOxE,16.3109596,80.4277335,ChIJ_VgAs2Z1SjoRLejSriWWOxE,1241751210861717549,True,2026-07-26 14:26:06
Barbeque Nation - Indiranagar,4.2,22045.0,"4005, 100 Feet Rd",Bengaluru,Karnataka,IN,560071,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/restaurants/bangalore/indiranagar?utm_source=GMB&utm_medium=Indiranagar&utm_campaign=GMB_Indiranagar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Indiranagar&query_place_id=ChIJK7aICxoVrjsRnjZbF0TjvNo,12.9626604,77.6414496,ChIJK7aICxoVrjsRnjZbF0TjvNo,15761722677479028382,True,2026-07-26 14:26:06
Barbeque Nation - JP Nagar,4.2,20206.0,"3rd Floor, 67, 6th B Main Rd",Bengaluru,Karnataka,IN,560078,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/restaurants/bangalore/j-p-nagar?utm_source=GMB&utm_medium=JPnagar&utm_campaign=GMB_JPnagar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20JP%20Nagar&query_place_id=ChIJwYmGDBoVrjsRj8ADSu3ctpY,12.9064711,77.5968338,ChIJwYmGDBoVrjsRj8ADSu3ctpY,10860110463157649551,True,2026-07-26 14:26:06
Barbeque Nation - Patrapada,4.2,1671.0,"6th floor ,Service road South Tamando DN Square",Bhubaneswar,Odisha,IN,751019,+91 80 6902 8768,Barbecue restaurant,http://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Patrapada&query_place_id=ChIJe7vUriepGToRjJAsYcbVOW4,20.2409869,85.7583297,ChIJe7vUriepGToRjJAsYcbVOW4,7942614465855131788,True,2026-07-26 14:26:06
Barbeque Nation - Sekaran Mall,4.5,589.0,"2nd Floor, 452/3, Sholinganallur, Medavakkam, Kailash Nagar Main Rd","Chennai, Perumbakkam",Tamil Nadu,IN,600100,+91 80 6902 8721,Barbecue restaurant,https://barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Sekaran%20Mall&query_place_id=ChIJUfwiLUJdUjoRWVCj7D7Xlug,12.9049272,80.2087597,ChIJUfwiLUJdUjoRWVCj7D7Xlug,16759819728563949657,True,2026-07-26 14:26:06
Barbeque Nation- T Nagar,4.0,11622.0,"No 39, Star City Serviced Apartment, Bazullah Rd, near The Grand Sweets","Chennai, Greater Chennai",Tamil Nadu,IN,600017,+91 80 6902 8724,North Indian restaurant,https://www.barbequenation.com/restaurants/chennai/t-nagar?%20utm_source=GMB&utm_medium=chennai/t-nagar&utm_campaign=GMB_chennai/t-nagar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20T%20Nagar&query_place_id=ChIJW5gW81dmUjoRHUEFvoSLbyE,13.0470453,80.2350054,ChIJW5gW81dmUjoRHUEFvoSLbyE,2409297727906464029,True,2026-07-26 14:26:06
Barbeque Nation- Porur,3.8,6053.0,"2nd Floor, Survey No 38/1, Mount Poonamallee Rd","Greater Chennai, Chennai",Tamil Nadu,IN,600116,+91 80 6902 8724,Barbecue restaurant,https://www.barbequenation.com/restaurants/chennai/porur?utm_source=GMB&utm_medium=chennai/porur&utm_campaign=GMB_chennai/porur,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20Porur&query_place_id=ChIJfXIpNTlhUjoRxUkcnjmtaI8,13.0289265,80.1701981,ChIJfXIpNTlhUjoRxUkcnjmtaI8,10333699807978998213,True,2026-07-26 14:26:06
Barbeque Nation - Ahmedabad - Sky Forest,4.6,3079.0,"204 - 207, 2nd Floor, Saral Xperia, Sky forest Building Near Bhat Circle, Sardar Patel Ring Rd",Ahmedabad,Gujarat,IN,382428,+91 80 6902 8770,Indian restaurant,http://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Ahmedabad%20-%20Sky%20Forest&query_place_id=ChIJW4lk0EiBXjkRnR58FgGMsXk,23.1169622,72.628732,ChIJW4lk0EiBXjkRnR58FgGMsXk,8768943885767155357,True,2026-07-26 14:26:06
Barbeque Nation,4.3,7039.0,"Fortune Murali Park, CPR Hotel, 3rd Floor, LEPL, Centro Mall, 40-1-147, MG Rd",Vijayawada,Andhra Pradesh,IN,520010,+91 80 6902 8745,Barbecue restaurant,https://www.barbequenation.com/restaurants/vijayawada/lepl-centro-mall?utm_source=GMB&utm_medium=vijayawada&utm_campaign=GMB_vijayawada,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJv58o7br6NToROPPDiCZ-HTU,16.5003901,80.6458419,ChIJv58o7br6NToROPPDiCZ-HTU,3827353962303189816,True,2026-07-26 14:26:06
Barbeque Nation - Anand - Maruti Solaris,4.6,1794.0,"2ndFloor, MARUTI SOLARIS, Anand - Sojitra Rd",Anand,Gujarat,IN,388120,+91 80 6902 8770,Barbecue restaurant,http://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Anand%20-%20Maruti%20Solaris&query_place_id=ChIJs_k3s91NXjkRS0cUFxV9jBM,22.5417416,72.9460826,ChIJs_k3s91NXjkRS0cUFxV9jBM,1408638312995112779,True,2026-07-26 14:26:06
Barbeque Nation,4.2,9032.0,"18/19/20, West Gate Mall, Ground Floor, Dr Rajkumar Rd",Bengaluru,Karnataka,IN,560010,+91 80 6902 8721,Barbecue restaurant,https://www.barbequenation.com/restaurants/bangalore/rajajinagar,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJZU8k2vU9rjsRK9gXANkis7k,12.9830627,77.5596095,ChIJZU8k2vU9rjsRK9gXANkis7k,13381077233252685867,True,2026-07-26 14:26:06
Barbeque Nation - Nagpur - Eternity Mall,4.4,5903.0,"2nd Floor Eternity Mall, Amravati Rd",Nagpur,Maharashtra,IN,440012,+91 80 6902 8737,Barbecue restaurant,https://www.barbequenation.com/restaurants/nagpur/eternity-mall?utm_source=GMB&utm_medium=nagpur_eternity_mall&utm_campaign=GMB_nagpur_eternity_mall,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Nagpur%20-%20Eternity%20Mall&query_place_id=ChIJG4yuQZPA1DsRKxYcRB5Cjxo,21.1433734,79.0800933,ChIJG4yuQZPA1DsRKxYcRB5Cjxo,1913821064414893611,True,2026-07-26 14:26:06
Barbeque Nation - Koramangala,4.1,15727.0,"86, 1st Cross Rd",Bengaluru,Karnataka,IN,560034,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/restaurants/bangalore/kormangala?utm_source=GMB&utm_medium=kormangala&utm_campaign=GMB_kormangala,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Koramangala&query_place_id=ChIJ3wP-ImIUrjsRnZ7Rr7BisQI,12.9255589,77.6371116,ChIJ3wP-ImIUrjsRnZ7Rr7BisQI,194044769957158557,True,2026-07-26 14:26:06
"Barbeque Nation - Nexus Centre City Mall, Mysuru",3.9,658.0,"Nexus Centre City Mall, No-8, Old-5, Abba Road, Also, Hyderali Rd",Mysuru,Karnataka,IN,570019,,Buffet restaurant,https://www.barbequenation.com/restaurants/Mysore-Nexus-Mall,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Nexus%20Centre%20City%20Mall%2C%20Mysuru&query_place_id=ChIJq-n4NHhxrzsRqdq6rnaHmNA,12.3180417,76.6655632,ChIJq-n4NHhxrzsRqdq6rnaHmNA,15030912700156402345,True,2026-07-26 14:26:06
Barbeque Nation - Mangalore - Makmall,4.4,5599.0,"3rd Floor, Mak Mall, Father Muller's Rd",Mangaluru,Karnataka,IN,575002,+91 80 6902 8761,Barbecue restaurant,https://www.barbequenation.com/restaurants/mangaluru/mak-mall?utm_source=GMB&utm_medium=mangaluru_mak_mall&utm_campaign=GMB_mangaluru_mak_mall,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Mangalore%20-%20Makmall&query_place_id=ChIJY96VoDNaozsRVmSewjbbvKk,12.86893,74.858125,ChIJY96VoDNaozsRVmSewjbbvKk,12230891716271301718,True,2026-07-26 14:26:06
"Barbeque Nation - Lulu Mall, Thiruvananthapuram",4.2,767.0,"2nd floor, Barbeque Nation Hospitallity Limited, Lulu International Shopping Mall, TC 91, Akkulam Bridge",Thiruvananthapuram,Kerala,IN,695029,+91 80 6902 8739,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Lulu%20Mall%2C%20Thiruvananthapuram&query_place_id=ChIJiWfiida9BTsRPwNqvbhCWXQ,8.5153621,76.8976919,ChIJiWfiida9BTsRPwNqvbhCWXQ,8383805542546146111,True,2026-07-26 14:26:06
Barbeque Nation Nexus Shantiniketan Mall,4.4,1539.0,"2nd Floor, Nexus, Forum Mall Whitefield, Whitefield Main Rd",Bengaluru,Karnataka,IN,560048,+91 80 6405 8001,Barbecue restaurant,https://www.barbequenation.com/,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20Nexus%20Shantiniketan%20Mall&query_place_id=ChIJqe-dMJoRrjsR7ZTs1d6lXMk,12.9896257,77.728109,ChIJqe-dMJoRrjsR7ZTs1d6lXMk,14509654475971269869,True,2026-07-26 14:26:06
