outlet_title,average_rating,total_reviews,city,state,country_code,pincode,phone,street_address,latitude,longitude,google_maps_url,is_active
Barbeque Nation,4.2,17825,Hyderabad,Telangana,IN,500034,+91 80 6405 8003,"1st Floor, ANR सेंटर, Plot No.6-3 5, Road No. 1",17.4151089,78.4500669,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJt3TsmjeXyzsRW78eukz3few,True
Barbeque Nation - Visakhapatnam - Waltair Road,4.4,10163,Visakhapatnam,Andhra Pradesh,IN,530003,+91 80 6902 8744,"4rd Floor, D. no 10-50-12, Sripuram, 9-Block, Waltair Main Rd, opposite Governor Bungalow, beside Reliance Trends",17.7210003,83.3146091,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Visakhapatnam%20-%20Waltair%20Road&query_place_id=ChIJk45YuGtDOToRVbSgKYBj2nU,True
Barbeque Nation,4.4,9805,Patna,Bihar,IN,800001,+91 80 6902 8730,"8th Floor, Patna One Mall, New Dak Bunglow Rd",25.609878,85.1366535,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJlXOFO0NY7TkRheDLAr2Chz8,True
Barbeque Nation,4.0,6763,"Chennai, Greater Chennai",Tamil Nadu,IN,600042,+91 80 6902 8724,1st Cross St,12.9720141,80.2203525,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJD0bLspBdUjoRQRyqApSAeh4,True
Barbeque Nation,4.1,5021,Guntur,Andhra Pradesh,IN,522007,+91 80 6902 8743,"Building, 3rd floor, Appanam, Lakshmipuram Main Rd, above Westside - Guntur, Andhra Pradesh",16.3109596,80.4277335,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation&query_place_id=ChIJ_VgAs2Z1SjoRLejSriWWOxE,True
Barbeque Nation - Indiranagar,4.2,22045,Bengaluru,Karnataka,IN,560071,+91 80 6405 8001,"4005, 100 Feet Rd",12.9626604,77.6414496,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Indiranagar&query_place_id=ChIJK7aICxoVrjsRnjZbF0TjvNo,True
Barbeque Nation - JP Nagar,4.2,20206,Bengaluru,Karnataka,IN,560078,+91 80 6405 8001,"3rd Floor, 67, 6th B Main Rd",12.9064711,77.5968338,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20JP%20Nagar&query_place_id=ChIJwYmGDBoVrjsRj8ADSu3ctpY,True
Barbeque Nation - Patrapada,4.2,1671,Bhubaneswar,Odisha,IN,751019,+91 80 6902 8768,"6th floor ,Service road South Tamando DN Square",20.2409869,85.7583297,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Patrapada&query_place_id=ChIJe7vUriepGToRjJAsYcbVOW4,True
Barbeque Nation - Sekaran Mall,4.5,589,"Chennai, Perumbakkam",Tamil Nadu,IN,600100,+91 80 6902 8721,"2nd Floor, 452/3, Sholinganallur, Medavakkam, Kailash Nagar Main Rd",12.9049272,80.2087597,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation%20-%20Sekaran%20Mall&query_place_id=ChIJUfwiLUJdUjoRWVCj7D7Xlug,True
Barbeque Nation- T Nagar,4.0,11622,"Chennai, Greater Chennai",Tamil Nadu,IN,600017,+91 80 6902 8724,"No 39, Star City Serviced Apartment, Bazullah Rd, near The Grand Sweets",13.0470453,80.2350054,https://www.google.com/maps/search/?api=1&query=Barbeque%20Nation-%20T%20Nagar&query_place_id=ChIJW5gW81dmUjoRHUEFvoSLbyE,True
