title,channelName,viewCount,likes,date,duration,type,url,commentsCount
"Dekho sab log, Sneha aur hamare social media ke liye kya kya karna pad raha hai. #Sneha #SocialMedia",Barbeque Nation,214,3,2026-06-26T17:23:18.000Z,0:00:34,shorts,https://www.youtube.com/shorts/dVJVwy4ARiU,0
"Barbeque Nation is now LIVE at Phoenix Mall of the Millennium, Wakad  #barbequenation #pune",Barbeque Nation,1913,14,2026-05-18T12:41:42.000Z,0:00:34,shorts,https://www.youtube.com/shorts/j2S6lBHvYSA,1
Countless flavours. One unforgettable celebration of Rajasthan. ✨ #barbequenation #food #pune,Barbeque Nation,1795,20,2026-06-29T11:11:00.000Z,0:00:51,shorts,https://www.youtube.com/shorts/Lvet2v2fDis,2
Our kind of superpower? Never saying no to great food.💪🍢#BarbequeNation #FoodLovers #UnlimitedBuffet,Barbeque Nation,1945,15,2026-06-27T17:07:45.000Z,0:00:10,shorts,https://www.youtube.com/shorts/H4p77bNWtqY,0
Some signs are just too delicious to ignore😋🔥#Grills #Cravings #BarbequeNation,Barbeque Nation,200,1,2026-06-27T07:20:05.000Z,0:00:08,shorts,https://www.youtube.com/shorts/YQvDH6cH9fQ,0
Punjab Beyond Borders | Chef Anshmeet Singh #barbequenation #food #chandigarh,Barbeque Nation,1610,12,2026-05-15T13:57:11.000Z,0:00:27,shorts,https://www.youtube.com/shorts/8L00d_iJhQQ,0
Punjab Beyond Borders | Chef Anshmeet Singh #chandigarh  #barbequenation,Barbeque Nation,1621,16,2026-05-13T09:30:11.000Z,0:00:31,shorts,https://www.youtube.com/shorts/P72Ca509dU4,0
Wapas kab grill karne milega? ☹️#barbequenation #BaapOfGrills #fathersday,Barbeque Nation,1017,7,2026-06-29T17:33:53.000Z,0:00:14,shorts,https://www.youtube.com/shorts/a_-crU-dl_Y,1
Nizam-E-Dastarkhwan | Chef Kenneth Gopinath #barbequenation #food #bengaluru,Barbeque Nation,958,3,2026-05-26T10:09:11.000Z,0:01:13,shorts,https://www.youtube.com/shorts/d42VCD_gYOk,0
We’re hiring! ₹100 per hour for service industry roles #BarbequeNation #HiringNow #ServiceIndustry,Barbeque Nation,848,9,2026-05-13T18:30:21.000Z,0:00:35,shorts,https://www.youtube.com/shorts/U0VdffRt0P0,0
