id,title,description_text,channelName,channelId,viewCount,likes,commentsCount,date,url,processed_at
dVJVwy4ARiU,"Dekho sab log, Sneha aur hamare social media ke liye kya kya karna pad raha hai. #Sneha #SocialMedia",,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,214,3,0,2026-06-26T17:23:18.000Z,https://www.youtube.com/shorts/dVJVwy4ARiU,2026-07-30 07:08:28
j2S6lBHvYSA,"Barbeque Nation is now LIVE at Phoenix Mall of the Millennium, Wakad  #barbequenation #pune","📍Phoenix Mall of the Millennium, Wakad, Pune",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1913,14,1,2026-05-18T12:41:42.000Z,https://www.youtube.com/shorts/j2S6lBHvYSA,2026-07-30 07:08:28
Lvet2v2fDis,Countless flavours. One unforgettable celebration of Rajasthan. ✨ #barbequenation #food #pune,"From royal recipes to heartfelt stories, Marurasa curated by Dr. Chef Saurabh Sharma brought the spirit of Rajasthan alive at Barbeque Nation, Kalyani Nagar.

📍 Barbeque Nation, Kalyani Nagar, Pune",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1795,20,2,2026-06-29T11:11:00.000Z,https://www.youtube.com/shorts/Lvet2v2fDis,2026-07-30 07:08:28
H4p77bNWtqY,Our kind of superpower? Never saying no to great food.💪🍢#BarbequeNation #FoodLovers #UnlimitedBuffet,,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1945,15,0,2026-06-27T17:07:45.000Z,https://www.youtube.com/shorts/H4p77bNWtqY,2026-07-30 07:08:28
YQvDH6cH9fQ,Some signs are just too delicious to ignore😋🔥#Grills #Cravings #BarbequeNation,,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,200,1,0,2026-06-27T07:20:05.000Z,https://www.youtube.com/shorts/YQvDH6cH9fQ,2026-07-30 07:08:28
8L00d_iJhQQ,Punjab Beyond Borders | Chef Anshmeet Singh #barbequenation #food #chandigarh,"Barbeque Nation, Sector 26, Chandigargh
18th - 24th May, 2026",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1610,12,0,2026-05-15T13:57:11.000Z,https://www.youtube.com/shorts/8L00d_iJhQQ,2026-07-30 07:08:28
P72Ca509dU4,Punjab Beyond Borders | Chef Anshmeet Singh #chandigarh  #barbequenation,"Punjab Beyond Borders
📍Barbeque Nation, Sector 26 - Chandigarh
18th-24th May, 2026",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1621,16,0,2026-05-13T09:30:11.000Z,https://www.youtube.com/shorts/P72Ca509dU4,2026-07-30 07:08:28
a_-crU-dl_Y,Wapas kab grill karne milega? ☹️#barbequenation #BaapOfGrills #fathersday,,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1017,7,1,2026-06-29T17:33:53.000Z,https://www.youtube.com/shorts/a_-crU-dl_Y,2026-07-30 07:08:28
d42VCD_gYOk,Nizam-E-Dastarkhwan | Chef Kenneth Gopinath #barbequenation #food #bengaluru,,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,958,3,0,2026-05-26T10:09:11.000Z,https://www.youtube.com/shorts/d42VCD_gYOk,2026-07-30 07:08:28
U0VdffRt0P0,We’re hiring! ₹100 per hour for service industry roles #BarbequeNation #HiringNow #ServiceIndustry,"If you’re someone who enjoys fast-paced environments, loves people-facing roles, and wants to be part of the energy that makes Barbeque Nation what it is—this could be for you 🤝✨

Kabhi kabhi great talent ke liye thoda extra effort toh banta hai 😌

Download the Saathi app & join the Barbeque Nation team!",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,848,9,0,2026-05-13T18:30:21.000Z,https://www.youtube.com/shorts/U0VdffRt0P0,2026-07-30 07:08:28
YYZvgFNskJQ,Nizam-E-Dastarkhwan | Chef Kenneth Gopinath  #barbequenation #food #bengaluru,"📍 Phoenix Market City, Whitefield, Bengaluru
📅 20th–24th May 2026",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1617,24,0,2026-05-16T11:30:35.000Z,https://www.youtube.com/shorts/YYZvgFNskJQ,2026-07-30 07:08:28
H9ILi_zROzE,POV: your reaction just made the chef’s entire day #barbequenation #hospitality  #food,,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1181,12,0,2026-05-16T05:45:01.000Z,https://www.youtube.com/shorts/H9ILi_zROzE,2026-07-30 07:08:28
1RoCRBhn2e4,When every dish looks too good to skip... the answer is simple. Have it all! ❤️🔥,,Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,1393,14,0,2026-06-29T17:01:42.000Z,https://www.youtube.com/shorts/1RoCRBhn2e4,2026-07-30 07:08:28
cGwYbmPvTGw,"Milne Ki Bhookh, Acchi Bhookh Hai - Grilled Prawns","Kuch cheezein butter se pighalti hain, kuch sirf saath baithne se. Jaise yeh prawns 🍤 aur daadu👴🏻, aur jaise hum sab…

Toh agli baar kisika dil pighlana ho toh Barbeque Nation mein zaroor miliye kyuki ‘Milne ki bhookh acchi bhookh hai.’ 🤗

#MilneKiBhookh #BarbequeNation",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,177,2,0,2025-12-27T11:28:59.000Z,https://www.youtube.com/shorts/cGwYbmPvTGw,2026-07-30 07:08:28
8w3mTzjVmpQ,Punjab beyond borders | Chef Anshmeet Singh  #barbequenation #food #chandigarh,"📍Barbeque Nation, Sector 26 - Chandigarh
18th - 24th May, 2026
Book your tables now on the Barbeque Nation app or website.",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,493,5,0,2026-05-14T05:14:59.000Z,https://www.youtube.com/shorts/8w3mTzjVmpQ,2026-07-30 07:08:28
bQzczl7gq3Y,"Milne Ki Bhookh, Acchi Bhookh Hai - Kulfi (Telugu)","Perfect excuse to meet? This creamy, chilled, melt-in-your mouth kulfi. Find your reason to meet at Barbeque Nation. Kyon ki milne ki bhookh acchi bhookh hai.🤗
#MilneKiBhookh #BarbequeNation",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,228,3,0,2026-02-10T05:52:36.000Z,https://www.youtube.com/shorts/bQzczl7gq3Y,2026-07-30 07:08:28
ltOxB9DDZAY,"Milne Ki Bhookh, Acchi Bhookh Hai - Kulfi (Kannada)","Perfect excuse to meet? This creamy, chilled, melt-in-your mouth kulfi. Find your reason to meet at Barbeque Nation. Kyon ki milne ki bhookh acchi bhookh hai.🤗

#MilneKiBhookh #BarbequeNation",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,103,0,0,2026-02-10T05:40:21.000Z,https://www.youtube.com/shorts/ltOxB9DDZAY,2026-07-30 07:08:28
yRSnNP-g-3M,Lucknowi Dastarkhwan,"Step into a world shaped by
centuries of khansamaa's craft, where every dish carries the slow-cooked soul of Lucknow. Chef Gul Ali brings her legendary Dum Pukht artistry to Barbeque Nation - and the aromas alone are transporting guests straight to Nawabi times,

From the signature Galouti to the royal Lucknowi Dum Biryani -- this is your chance to savour recipes perfected across generations.

It's only the second day, and tables are filling
already. Book now and dine at a true Dastarkhwan of the Nawabs.


📍Ambience Mal, Gurugram
     Till : 30th Nov


[Lucknowi Cuisine| Awadhi Food |Galouti  Kebab| Dum Biryani | Nihari | Korma | Sheer Khurma | Chef Gul Ali| Royal Feast | Nawabi Cuisine | Barbeque Nation]",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,9971,178,2,2025-11-27T09:48:12.000Z,https://www.youtube.com/shorts/yRSnNP-g-3M,2026-07-30 07:08:28
jnujOYwmmiA,"Milne Ki Bhookh, Acchi Bhookh Hai - Kulfi (Tamil)","Perfect excuse to meet? This creamy, chilled, melt-in-your mouth kulfi. Find your reason to meet at Barbeque Nation. Kyon ki milne ki bhookh acchi bhookh hai.🤗
#MilneKiBhookh #BarbequeNation",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,204,1,0,2026-02-10T06:01:00.000Z,https://www.youtube.com/shorts/jnujOYwmmiA,2026-07-30 07:08:28
_OGYs40pZC4,The Barbeque Nation Year Wrap 2025,"From the hills to the coast, from fire-led Asian plates to heritage Indian kitchens, every chef brought a story worth savouring.
2025 was about regions meeting tables, traditions finding new admirers, and diners becoming part of the journey.

From Uttarakhand to Odisha, Nepal to Andhra, Lucknow to the South — every pop-up reminded us how limitless Indian flavours truly are.

Thank you for sharing every table with us.
We're fired up and ready for 2026!

#BarbequeNation #2025 #2026 #FlavoursOfIndia #yearwrapped",Barbeque Nation,UCA-ACmkbdLdSePOPckbq18A,152,2,0,2025-12-31T13:54:03.000Z,https://www.youtube.com/shorts/_OGYs40pZC4,2026-07-30 07:08:28
