record_id,city_name,branch_id,branch_name,package_name,price,min_pax,max_pax,applicable_days,slot_timings,full_address,terms_summary,scraped_at
1,Bangalore,12,Indiranagar,Fab 5@2026,₹2026,5,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 10:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Fantastic 5 @ 2026 – Save big when you dine with a group of 5! (Applicable only with The Big Buffet). This is the ultimate choice for a tasty and fulfilling break. Grab your seat and dive into a feast you’ll love – today! Enjoy juicy savory bites and sweet desserts all served with deliciousness. Thi,2026-07-30T07:42:16.964Z
2,Bangalore,12,Indiranagar,Super 6 @666,₹666,6,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038","Make everyday sizzle with our special Sizzling 6@666 offer! Come with your group of 6 persons, and enjoy a mouthwatering all-you-can-eat buffet featuring 60+ live grills, unlimited starters, hearty mains, and delectable desserts — all for just ₹666 per person. Catch this limited-time deal now!",2026-07-30T07:42:16.964Z
3,Bangalore,12,Indiranagar,Sizzling 7 @777,₹777,7,150000000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 7 or more • ₹777 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
4,Bangalore,12,Indiranagar,Soft Beverages @ ₹49 Each,₹49,2,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038","Double the refreshment, less than half the price! Save ₹201 on every pair of mocktails.",2026-07-30T07:42:16.964Z
5,Bangalore,12,Indiranagar,Sizzling 8 @888,₹888,8,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 8 or more • ₹888 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
6,Bangalore,12,Indiranagar,Sizzling 6 @999,₹999,6,10000000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 10:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 6 or more • ₹999 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
7,Bangalore,12,Indiranagar,Student (10-21 yrs),Dynamic/Standard Rate,1,150,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Students (10–21 years) Student discount available only on showing a valid student ID card.. Applicable for veg / non-veg. Cannot be clubbed with any other offer.,2026-07-30T07:42:16.964Z
8,Bangalore,12,Indiranagar,Fantastic 4@1699,₹1699,4,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Fantastic 4 @ 1699 – Save big when you dine with a group of 4! (Applicable only with The Big Buffet). This is the ultimate choice for a tasty and fulfilling break. Grab your seat and dive into a feast you’ll love – today! Enjoy juicy savory bites and sweet desserts all served with deliciousness. Thi,2026-07-30T07:42:16.964Z
9,Bangalore,12,Indiranagar,Fab 5 @2266,₹2266,1,100000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:39 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Save big when you dine with a group of 5 @ Rs. 2266! (Applicable only with The Big Buffet Special Menu of 30+ Dishes). This is the ultimate choice for a tasty and fulfilling break. Grab your seat and dive into a feast you’ll love – today! Enjoy juicy savory bites and sweet desserts all served with d,2026-07-30T07:42:16.964Z
10,Bangalore,12,Indiranagar,Prime Time Deal,Dynamic/Standard Rate,1,1000000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",06:00 PM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
