record_id,promotion_id,title,category,posted_date,description,image_url,source_url,scraped_at
1,3681,Suvai Yathirai – A Journey Through the Flavours of the Deccan by Dr. Chef Nithya Franklyn,Chef Special / Festival,2026-07-21,"Embark on an unforgettable culinary journey through the heart of Tamil Nadu with Suvai Yathirai, an exclusive chef-curated food festival at Barbeque Nation, crafted by Dr. Chef Nithya Franklyn, MasterChef Tamil Nadu Season 1 finalist. Inspired by the rich culinary traditions of the Deccan, this limited-time festival celebrates authentic regional flavours through a specially curated unlimited buffe",https://api.barbequenation.com/sites/default/files/2026-07/1440x768-chennai-POP_Adpts.jpg,https://api.barbequenation.com/news/suvai-yathirai-journey-through-flavours-deccan-dr-chef-nithya-franklyn,2026-07-30T07:46:41.718Z
2,3680,Saanjha – Revisiting Punjab’s Forgotten Recipes with Chef Sherie Mehtaa at Barbeque Nation,Chef Special / Festival,2026-07-21,"Punjab’s culinary heritage is much more than its iconic favourites. It is a treasure trove of time-honoured recipes, rustic cooking techniques, and regional flavours that have been lovingly passed down through generations. This July, Barbeque Nation invites you to rediscover these hidden gems with Saanjha, an exclusive chef pop-up curated by Celebrity Chef & Television Host Sherie Mehtaa. From 22n",https://api.barbequenation.com/sites/default/files/2026-07/1440x768-chefpop_punjab_Adpts.jpg,https://api.barbequenation.com/news/saanjha-revisiting-punjabs-forgotten-recipes-chef-sherie-mehtaa-barbeque-nation,2026-07-30T07:46:41.718Z
3,3682,The Taste of Monsoon – India's Rainy Day Favourites by Chef Sadik Mullani,Chef Special / Festival,2026-07-20,"Celebrate the magic of the monsoon with The Taste of Monsoon, an exclusive chef-curated food festival at Barbeque Nation, crafted by Chef Sadik Mullani, a specialist in authentic Marathi cuisine. This limited-time culinary experience brings together India's most-loved rainy-day delicacies, comforting flavours, and regional favourites, served as part of Barbeque Nation's signature unlimited buffet.",https://api.barbequenation.com/sites/default/files/2026-07/1440x768-chefpop_pune_Adpts.jpg,https://api.barbequenation.com/news/taste-monsoon-indias-rainy-day-favourites-chef-sadik-mullani,2026-07-30T07:46:41.718Z
4,3683,The Royal Bengal Table – A Culinary Tribute by Chef Suraj Thapa at Barbeque Nation,Chef Special / Festival,2026-07-19,"Step into the regal world of Bengal with The Royal Bengal Table, an exclusive chef-curated food festival at Barbeque Nation, crafted by Chef Suraj Thapa, MasterChef India Season 8 – 3rd Runner-Up. This limited-time culinary celebration revives Bengal's forgotten recipes through an indulgent unlimited buffet featuring authentic regional delicacies, heirloom recipes, fragrant spices, and timeless fl",https://api.barbequenation.com/sites/default/files/2026-07/Chef%20Popup%20%40HYD_Other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/royal-bengal-table-culinary-tribute-chef-suraj-thapa-barbeque-nation,2026-07-30T07:46:41.718Z
5,3533,The Nawab's Table – A Modern Take on Mughlai Classics by Chef Aditya Sahu,Chef Special / Festival,2026-07-14,"Step into the regal world of Mughlai cuisine with The Nawab's Table, an exclusive chef-curated culinary pop-up by Chef Aditya Sahu, Food Consultant & Enthusiast, at Barbeque Nation Vibes. This limited-time food festival celebrates the timeless flavours of India's royal kitchens, reimagined with a contemporary twist for today's food lovers. From 15th to 19th July 2026, guests can indulge in a speci",https://api.barbequenation.com/sites/default/files/2026-07/Mumbai%20Chef%20pop%20up%20OtherAdapts_1440.jpg,https://api.barbequenation.com/news/nawabs-table-modern-take-mughlai-classics-chef-aditya-sahu,2026-07-30T07:46:41.718Z
6,3311,Flavours of Magadh – An Authentic Culinary Journey Through Bihar by Chef Shreya Anand,Chef Special / Festival,2026-06-30,"Discover the rich culinary heritage of Bihar at Flavours of Magadh, an exclusive chef-curated food festival at Barbeque Nation, crafted by Chef Shreya Anand, Founder of Baghar-e-Magadh. This limited-time festival brings the authentic taste of the historic Magadh region to your table through an indulgent unlimited buffet featuring traditional recipes, time-honoured cooking techniques, and the bold,",https://api.barbequenation.com/sites/default/files/2026-07/Chef%20Popup%20%40Delhi_Other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/flavours-magadh-authentic-culinary-journey-through-bihar-chef-shreya-anand,2026-07-30T07:46:41.718Z
7,3310,Taste of the Seven Sisters – A Culinary Journey Through Meghalaya to Arunachal by Chef Nambio Marak,Chef Special / Festival,2026-06-23,"Embark on a remarkable culinary journey through Northeast India with Taste of the Seven Sisters, an exclusive chef-curated food festival at Barbeque Nation, crafted by Chef Nambio Marak. Experience the vibrant and authentic flavours of the Seven Sister States, from Meghalaya to Arunachal Pradesh, through a thoughtfully curated unlimited buffet that celebrates the region's rich food traditions, ind",https://api.barbequenation.com/sites/default/files/2026-07/Seven%20sisters%20Chef%20pop%20up%20OtherAdapts_1440.jpg,https://api.barbequenation.com/news/taste-seven-sisters-culinary-journey-through-meghalaya-arunachal-chef-nambio-marak,2026-07-30T07:46:41.718Z
8,3256,Dum-E-Karam – A Celebration of Andhra & Hyderabadi Flavours by Chef Mani Kandan,Chef Special / Festival,2026-06-16,"Embark on a flavour-packed journey through the heart of Andhra Pradesh and Hyderabad with Dum-E-Karam, an exclusive culinary pop-up at Barbeque Nation Vibes, curated by Chef Mani Kandan, MasterChef India Tamil Top 5 finalist. Experience the perfect blend of fiery Andhra spices and the rich, aromatic traditions of Hyderabadi cuisine through a specially crafted menu featuring authentic regional deli",https://api.barbequenation.com/sites/default/files/2026-06/Chef%20Popup%20%40Chennai_Other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/dum-e-karam-celebration-andhra-hyderabadi-flavours-chef-mani-kandan,2026-07-30T07:46:41.718Z
9,3313,MARURASA – A Royal Rajasthani Culinary Journey by Chef Saurabh Sharma,Chef Special / Festival,2026-06-09,"Experience the vibrant flavours of Rajasthan at MARURASA, an exclusive chef-curated food festival by Dr. Chef Saurabh Sharma, MasterChef India Judge and Culinary Expert, only at Barbeque Nation. This limited-time festival brings the rich culinary heritage of Rajasthan to life through an indulgent unlimited buffet featuring authentic regional delicacies, royal recipes, traditional spices, and timel",https://api.barbequenation.com/sites/default/files/2026-07/Pune%20Chef%20pop%20up%20Saurabh%20OtherAdapts_1440.jpg,https://api.barbequenation.com/news/marurasa-royal-rajasthani-culinary-journey-chef-saurabh-sharma,2026-07-30T07:46:41.718Z
10,3309,BHANSA – A Culinary Tribute to Bihar's Timeless Flavours by Chef Rachnaa Prasad,Chef Special / Festival,2026-06-04,"Experience the rich and authentic flavours of Bihar at BHANSA, an exclusive chef-curated food festival by renowned culinary expert Chef Rachnaa Prasad, only at Barbeque Nation. Inspired by the traditional Bhansa—the heart of every Bihari home where recipes and traditions are passed down through generations—this festival celebrates the region's timeless culinary heritage through an indulgent unlimi",https://api.barbequenation.com/sites/default/files/2026-07/Lucknow_Chef%20Pop%20Up_other%20Adpts_1440X768.jpg,https://api.barbequenation.com/news/bhansa-culinary-tribute-bihars-timeless-flavours-chef-rachnaa-prasad,2026-07-30T07:46:41.718Z
